concept	kind	current_location	record_kind	cli_surface	enforced	displayed_only	authority_implication	risk	recommended_target	notes
case_ref	ref	include/yai/case/case_ref.h; system/case/case_ref.c; engine/yai-engine/src/record.rs	case	yai daemon run-filesystem-loop; yai store record get	no	yes	none	ref only can look like authority	future CaseHandle	Stable identifier and record correlation key; not resolved into handle.
subject_ref	ref	include/yai/subject/subject_ref.h; system/subject/subject_ref.c; engine/yai-engine/src/record.rs	subject_binding	yai daemon run-filesystem-loop; yai control pending	no	yes	none	subject binding may be mistaken for permission	future SubjectHandle	Subject identity plus kind/locator; not capability.
attempt_id	id	include/yai/op/attempt.h; system/daemon/core_loop.c; cmd/yai/src/main.rs	attempt	yai control show; graph/facts outputs	no	yes	none	attempt correlation mistaken for approval	future CaseHandle	Attempt identifies proposed operation only.
decision_id	id	include/yai/control/decision.h; system/control/decision.c; cmd/yai/src/main.rs	decision	yai control approve/deny/defer/quarantine; facts report	partial	yes	partial	decision summary split from resolved authority	future AuthorityScope	Decision outcome can gate filesystem carrier, but id alone is not authority.
receipt_id	id	include/yai/effect/receipt.h; include/yai/effect/carrier_receipt.h; system/effect/carriers/filesystem_carrier.c	filesystem_receipt; effect_receipt	yai store record get; facts report	partial	yes	none	receipt id confused with proof content	future carrier receipt boundary	Receipt record proves execution/non-execution posture when resolved.
record_id	id	include/yai/store/record.h; engine/yai-engine/src/record.rs	all record kinds	yai store record get; yai journal replay	no	yes	none	record existence mistaken for truth beyond record plane	already_in_yai	Durable record identity.
review_id	id	cmd/yai/src/main.rs	review_request; review_decision; control_pending	yai control pending/show/watch/wait/approve/deny/defer/quarantine	partial	yes	partial	local-dev review authority is displayed, not a general lease	future AuthorityScope	Review workflow id; approval path performs execution.
provider_ref	ref	cmd/yai/src/main.rs; labs/context-residency; ../yai-dev/src/runtime/provider/*	model_interpretation; provider runtime records	yai provider runtime status; yai provider targets	no	yes	none	provider endpoint mistaken for usable capability	future CapabilityLease	Provider identity/target needs lease and ResourceScope.
model_ref	ref	cmd/yai/src/main.rs; ../yai-dev/src/models/*	model_interpretation; fact_model_behavior	yai prompt; facts report --section model	no	yes	none	model id mistaken for authority	future CapabilityLease	Model output is claim/proposal only.
projection_id	id	include/yai/projection/projection.h; system/projection/projection.c; system/projection/projection_result.c	projection_result	yai daemon projection-summary; graph/facts outputs	no	yes	none	projection id mistaken for visibility boundary	future VisibilityScope	Projection result currently counts/summary posture.
