wave	old_repo_path	old_concept	target_repo	target_root	action	future_repo	status	notes
NEW.2	src/agents	agent contracts, identity, grounding, records, ports	yai + yai-dev	subject; ingest; projection; yai-dev	mine_concept	yai-dev	complete	Do not migrate as root; extract actor/subject and projection concepts. old_symbol_or_file=src/agents/identity; src/agents/contracts; src/agents/grounding; future_primitive=subject actor/source refs; projection; adapter evidence; compat_required=yes
NEW.1	src/capabilities	capability protocol, taxonomy, domains, records	yai	op; effect; control	absorb	none	complete	Capability becomes operation shape and effect class, not root. old_symbol_or_file=src/capabilities/protocol; src/capabilities/taxonomy; src/capabilities/domains; future_primitive=effect_class; attempt; carrier contract; admission; compat_required=yes
NEW.1	src/case	case identity, policy, evidence, subject relation	yai	case; subject; projection	absorb	none	complete	Case remains central but must stop owning subject semantics. old_symbol_or_file=src/case/identity; src/case/subjects; src/case/policy; src/case/evidence; future_primitive=case boundary; subject binding; evidence refs; compat_required=yes
NEW.1	src/decision	decision basis, outcome, enforcement, records	yai	control	absorb	none	complete	Decision is object under control. old_symbol_or_file=src/decision/basis; src/decision/outcome; src/decision/enforcement; future_primitive=policy gate; admission; decision; obligation; compat_required=yes
NEW.4	src/lineage	trace, causal relation, projections	yai	graph; projection	absorb	none	complete	Lineage becomes graph semantics plus compatibility projection. old_symbol_or_file=src/lineage/decision; src/lineage/projection; src/lineage/materialization; future_primitive=graph edge; reconstruction; audit projection; compat_required=yes
NEW.3	src/models	model registry, frame, invoke, routing	yai + yai-dev	subject; effect; projection; yai-dev	mine_concept	yai-dev	complete	Model framework/labs outside core; invocation carrier inside effect. old_symbol_or_file=src/models/registry; src/models/invoke; src/models/frame; future_primitive=model subject; model carrier; model projection; compat_required=yes
NEW.4	src/orchestrator	workflow, planning, recovery, handoff	yai + yai-dev	case; reconcile; projection; yai-dev	mine_concept	yai-dev	complete	Workflow engine does not enter core. old_symbol_or_file=src/orchestrator/workflow; src/orchestrator/recovery; src/orchestrator/handoff; future_primitive=case procedure; recovery; handoff projection; compat_required=yes
NEW.1	src/runtime	activation, lifecycle, execution, carriers, operator	yai + interfaces + console	daemon; effect; ctl; interfaces	split	interfaces	complete	Runtime root splits; operator UX quarantined to console. old_symbol_or_file=src/runtime/activation; src/runtime/execution; src/runtime/carriers; src/runtime/operator; future_primitive=daemon loop; carrier; receipt; IPC; technical ctl; compat_required=yes
NEW.1	src/substrate	store, graph, memory, views, query, indexes	yai	store; index; graph; memory; projection	split	none	complete	Substrate is conceptually useful but not future root. old_symbol_or_file=src/substrate/store; src/substrate/graph; src/substrate/memory; src/substrate/views; future_primitive=record store; graph; retrieval; memory; projection; compat_required=yes
NEW.5	src/analytics	signals, features, consumption	yai + yai-dev	index; memory; reconcile; projection	mine_concept	yai-dev	complete	Analytics cannot remain core root. old_symbol_or_file=src/analytics/signals; src/analytics/features; src/analytics/consumption; future_primitive=signals; ranking input; divergence indicator; compat_required=yes
